sample_index,sequence_id,category,parameter_group,left,right,cosine
0,phase8_train_0003,visible_high_risk,trajectory_output_branch,score,total,0.0
0,phase8_train_0003,visible_high_risk,score_output_branch,smooth,static,0.0
0,phase8_train_0003,visible_high_risk,score_output_branch,smooth,guidance,0.0
0,phase8_train_0003,visible_high_risk,score_output_branch,smooth,dynamic_raw,0.0
0,phase8_train_0003,visible_high_risk,score_output_branch,smooth,dynamic_weighted,0.0
0,phase8_train_0003,visible_high_risk,score_output_branch,smooth,score,0.0
0,phase8_train_0003,visible_high_risk,score_output_branch,smooth,total,0.0
0,phase8_train_0003,visible_high_risk,score_output_branch,static,guidance,0.0
0,phase8_train_0003,visible_high_risk,score_output_branch,static,dynamic_raw,0.0
0,phase8_train_0003,visible_high_risk,score_output_branch,static,dynamic_weighted,0.0
0,phase8_train_0003,visible_high_risk,score_output_branch,static,score,0.0
0,phase8_train_0003,visible_high_risk,score_output_branch,static,total,0.0
0,phase8_train_0003,visible_high_risk,score_output_branch,guidance,dynamic_raw,0.0
0,phase8_train_0003,visible_high_risk,score_output_branch,guidance,dynamic_weighted,0.0
0,phase8_train_0003,visible_high_risk,score_output_branch,guidance,score,0.0
0,phase8_train_0003,visible_high_risk,score_output_branch,guidance,total,0.0
0,phase8_train_0003,visible_high_risk,score_output_branch,dynamic_raw,dynamic_weighted,0.0
0,phase8_train_0003,visible_high_risk,score_output_branch,dynamic_raw,score,0.0
0,phase8_train_0003,visible_high_risk,score_output_branch,dynamic_raw,total,0.0
0,phase8_train_0003,visible_high_risk,score_output_branch,dynamic_weighted,score,0.0
0,phase8_train_0003,visible_high_risk,score_output_branch,dynamic_weighted,total,0.0
0,phase8_train_0003,visible_high_risk,score_output_branch,score,total,1.0
0,phase8_train_0003,visible_high_risk,shared_head_trunk,smooth,static,0.7000141739845276
0,phase8_train_0003,visible_high_risk,shared_head_trunk,smooth,guidance,0.18034406006336212
0,phase8_train_0003,visible_high_risk,shared_head_trunk,smooth,dynamic_raw,-0.3034249544143677
0,phase8_train_0003,visible_high_risk,shared_head_trunk,smooth,dynamic_weighted,-0.3033784329891205
0,phase8_train_0003,visible_high_risk,shared_head_trunk,smooth,score,0.07668809592723846
0,phase8_train_0003,visible_high_risk,shared_head_trunk,smooth,total,0.5313577055931091
0,phase8_train_0003,visible_high_risk,shared_head_trunk,static,guidance,0.23578691482543945
0,phase8_train_0003,visible_high_risk,shared_head_trunk,static,dynamic_raw,-0.5103673338890076
0,phase8_train_0003,visible_high_risk,shared_head_trunk,static,dynamic_weighted,-0.5103143453598022
0,phase8_train_0003,visible_high_risk,shared_head_trunk,static,score,0.11215105652809143
0,phase8_train_0003,visible_high_risk,shared_head_trunk,static,total,0.6829352974891663
0,phase8_train_0003,visible_high_risk,shared_head_trunk,guidance,dynamic_raw,-0.03631352633237839
0,phase8_train_0003,visible_high_risk,shared_head_trunk,guidance,dynamic_weighted,-0.03634336590766907
0,phase8_train_0003,visible_high_risk,shared_head_trunk,guidance,score,0.12270168215036392
0,phase8_train_0003,visible_high_risk,shared_head_trunk,guidance,total,0.4869370758533478
0,phase8_train_0003,visible_high_risk,shared_head_trunk,dynamic_raw,dynamic_weighted,1.0000001192092896
0,phase8_train_0003,visible_high_risk,shared_head_trunk,dynamic_raw,score,-0.09809780865907669
0,phase8_train_0003,visible_high_risk,shared_head_trunk,dynamic_raw,total,-0.33423393964767456
0,phase8_train_0003,visible_high_risk,shared_head_trunk,dynamic_weighted,score,-0.09809593111276627
0,phase8_train_0003,visible_high_risk,shared_head_trunk,dynamic_weighted,total,-0.33421069383621216
0,phase8_train_0003,visible_high_risk,shared_head_trunk,score,total,0.7475058436393738
0,phase8_train_0003,visible_high_risk,all,smooth,static,0.7633074522018433
0,phase8_train_0003,visible_high_risk,all,smooth,guidance,0.1823095679283142
0,phase8_train_0003,visible_high_risk,all,smooth,dynamic_raw,-0.38368162512779236
