sample_index,sequence_id,frame_index,category,component,parameter_group,gradient_norm,max_abs_gradient,finite,component_total_norm_ratio
1,phase8_train_0006,8,temporally_separated,smooth,all,2.095146417617798,0.24012134969234467,True,0.09566482192764342
1,phase8_train_0006,8,temporally_separated,static,late_mobile,7.65069055557251,0.4185844659805298,True,0.3493321246992023
1,phase8_train_0006,8,temporally_separated,static,output_1x1,6.21276330947876,0.27165061235427856,True,0.28367606706726295
1,phase8_train_0006,8,temporally_separated,static,trajectory_output_branch,11.59658432006836,2.084104061126709,True,0.5295024560668287
1,phase8_train_0006,8,temporally_separated,static,score_output_branch,0.0,0.0,True,0.0
1,phase8_train_0006,8,temporally_separated,static,shared_head_trunk,6.77298641204834,0.8280041217803955,True,0.3092559706465113
1,phase8_train_0006,8,temporally_separated,static,all,16.657899856567383,2.084104061126709,True,0.7606031779291808
1,phase8_train_0006,8,temporally_separated,guidance,late_mobile,4.302250862121582,0.2338932752609253,True,0.19644167068804447
1,phase8_train_0006,8,temporally_separated,guidance,output_1x1,2.8299214839935303,0.11895128339529037,True,0.1292148045401377
1,phase8_train_0006,8,temporally_separated,guidance,trajectory_output_branch,2.7128746509552,0.6783542633056641,True,0.12387042175827091
1,phase8_train_0006,8,temporally_separated,guidance,score_output_branch,0.0,0.0,True,0.0
1,phase8_train_0006,8,temporally_separated,guidance,shared_head_trunk,3.834768056869507,0.2640513479709625,True,0.17509630840566806
1,phase8_train_0006,8,temporally_separated,guidance,all,6.970147609710693,0.6783542633056641,True,0.31825839200800043
1,phase8_train_0006,8,temporally_separated,dynamic_raw,late_mobile,2.4371590614318848,0.15121711790561676,True,0.11128119049852282
1,phase8_train_0006,8,temporally_separated,dynamic_raw,output_1x1,1.9750193357467651,0.0916375070810318,True,0.09017979434234165
1,phase8_train_0006,8,temporally_separated,dynamic_raw,trajectory_output_branch,3.8015236854553223,0.8444445729255676,True,0.173578363480821
1,phase8_train_0006,8,temporally_separated,dynamic_raw,score_output_branch,0.0,0.0,True,0.0
1,phase8_train_0006,8,temporally_separated,dynamic_raw,shared_head_trunk,2.6632492542266846,0.17475448548793793,True,0.12160451580477676
1,phase8_train_0006,8,temporally_separated,dynamic_raw,all,5.602224826812744,0.8444445729255676,True,0.2557987527501913
1,phase8_train_0006,8,temporally_separated,dynamic_weighted,late_mobile,0.24372082948684692,0.015128538943827152,True,0.011128343850749449
1,phase8_train_0006,8,temporally_separated,dynamic_weighted,output_1x1,0.19747501611709595,0.00916320737451315,True,0.0090167503775131
1,phase8_train_0006,8,temporally_separated,dynamic_weighted,trajectory_output_branch,0.38015231490135193,0.08444444090127945,True,0.017357833898677653
1,phase8_train_0006,8,temporally_separated,dynamic_weighted,score_output_branch,0.0,0.0,True,0.0
1,phase8_train_0006,8,temporally_separated,dynamic_weighted,shared_head_trunk,0.2662944793701172,0.01747298426926136,True,0.012159061407375106
1,phase8_train_0006,8,temporally_separated,dynamic_weighted,all,0.5602006316184998,0.08444444090127945,True,0.02557887755094043
1,phase8_train_0006,8,temporally_separated,score,late_mobile,5.947890758514404,0.2812621593475342,True,0.27158193120713703
1,phase8_train_0006,8,temporally_separated,score,output_1x1,4.619112491607666,0.14666476845741272,True,0.21090963870478802
1,phase8_train_0006,8,temporally_separated,score,trajectory_output_branch,0.0,0.0,True,0.0
1,phase8_train_0006,8,temporally_separated,score,score_output_branch,0.9696033596992493,0.21961133182048798,True,0.044272291409370335
1,phase8_train_0006,8,temporally_separated,score,shared_head_trunk,6.692233562469482,0.7906577587127686,True,0.3055687787108303
1,phase8_train_0006,8,temporally_separated,score,all,10.12125015258789,0.7906577587127686,True,0.46213839061107786
1,phase8_train_0006,8,temporally_separated,total,late_mobile,11.7079439163208,0.5798189640045166,True,0.5345871584321826
1,phase8_train_0006,8,temporally_separated,total,output_1x1,8.532559394836426,0.30785635113716125,True,0.3895984396270356
1,phase8_train_0006,8,temporally_separated,total,trajectory_output_branch,12.502870559692383,2.245234251022339,True,0.5708836745821838
1,phase8_train_0006,8,temporally_separated,total,score_output_branch,0.9696033596992493,0.21961133182048798,True,0.044272291409370335
1,phase8_train_0006,8,temporally_separated,total,shared_head_trunk,10.606948852539062,0.8928040862083435,True,0.48431549444048333
1,phase8_train_0006,8,temporally_separated,total,all,21.900907516479492,2.245234251022339,True,1.0
2,phase8_train_0006,13,temporally_separated,smooth,late_mobile,1.2458699941635132,0.08038081973791122,True,0.053521969013215494
2,phase8_train_0006,13,temporally_separated,smooth,output_1x1,0.9408339262008667,0.030618302524089813,True,0.040417767889589146
2,phase8_train_0006,13,temporally_separated,smooth,trajectory_output_branch,1.7802467346191406,0.3120095133781433,True,0.07647853388598302
2,phase8_train_0006,13,temporally_separated,smooth,score_output_branch,0.0,0.0,True,0.0
2,phase8_train_0006,13,temporally_separated,smooth,shared_head_trunk,1.2222745418548584,0.07815096527338028,True,0.05250831985781985
2,phase8_train_0006,13,temporally_separated,smooth,all,2.66469407081604,0.3120095133781433,True,0.11447396129294463
2,phase8_train_0006,13,temporally_separated,static,late_mobile,9.975310325622559,0.6084282398223877,True,0.42853448003910116
2,phase8_train_0006,13,temporally_separated,static,output_1x1,5.789198875427246,0.2205314040184021,True,0.24870116807813025
2,phase8_train_0006,13,temporally_separated,static,trajectory_output_branch,10.313399314880371,2.083319902420044,True,0.4430586185860892
2,phase8_train_0006,13,temporally_separated,static,score_output_branch,0.0,0.0,True,0.0
2,phase8_train_0006,13,temporally_separated,static,shared_head_trunk,7.264646053314209,0.48344212770462036,True,0.31208566124791925
2,phase8_train_0006,13,temporally_separated,static,all,17.0927734375,2.083319902420044,True,0.7342972337061684
2,phase8_train_0006,13,temporally_separated,guidance,late_mobile,4.329099655151367,0.25430119037628174,True,0.1859760157027458
2,phase8_train_0006,13,temporally_separated,guidance,output_1x1,2.800844669342041,0.12115027755498886,True,0.12032292478799368
2,phase8_train_0006,13,temporally_separated,guidance,trajectory_output_branch,1.051038384437561,0.22157599031925201,True,0.04515209781686439
2,phase8_train_0006,13,temporally_separated,guidance,score_output_branch,0.0,0.0,True,0.0
2,phase8_train_0006,13,temporally_separated,guidance,shared_head_trunk,3.9126949310302734,0.22271153330802917,True,0.16808747127534007
2,phase8_train_0006,13,temporally_separated,guidance,all,6.55741548538208,0.25430119037628174,True,0.28170338001521605
2,phase8_train_0006,13,temporally_separated,dynamic_raw,late_mobile,3.7115864753723145,0.21160666644573212,True,0.15944794983053015
2,phase8_train_0006,13,temporally_separated,dynamic_raw,output_1x1,2.389392137527466,0.06684671342372894,True,0.10264712413354872
2,phase8_train_0006,13,temporally_separated,dynamic_raw,trajectory_output_branch,4.7062602043151855,0.9623129367828369,True,0.20217864946061756
2,phase8_train_0006,13,temporally_separated,dynamic_raw,score_output_branch,0.0,0.0,True,0.0
2,phase8_train_0006,13,temporally_separated,dynamic_raw,shared_head_trunk,2.6096367835998535,0.1424027532339096,True,0.11210872701156607
2,phase8_train_0006,13,temporally_separated,dynamic_raw,all,6.960183620452881,0.9623129367828369,True,0.2990061032092548
2,phase8_train_0006,13,temporally_separated,dynamic_weighted,late_mobile,0.3711087703704834,0.02115941047668457,True,0.015942652284227567
2,phase8_train_0006,13,temporally_separated,dynamic_weighted,output_1x1,0.23892663419246674,0.006684146821498871,True,0.010264172001563392
2,phase8_train_0006,13,temporally_separated,dynamic_weighted,trajectory_output_branch,0.47062599658966064,0.09623128920793533,True,0.020217863921827135
2,phase8_train_0006,13,temporally_separated,dynamic_weighted,score_output_branch,0.0,0.0,True,0.0
2,phase8_train_0006,13,temporally_separated,dynamic_weighted,shared_head_trunk,0.2609553039073944,0.014239316806197166,True,0.011210512938746264
2,phase8_train_0006,13,temporally_separated,dynamic_weighted,all,0.6959843039512634,0.09623128920793533,True,0.029899147201770532
