sequence_id,frame_index,map_id,scenario,sample_category,candidate_id,predicted_score,dynamic_cost,static_cost,guidance_cost,minimum_distance,minimum_clearance,time_of_minimum_clearance,risk_rank,score_rank,selected_by_score
phase8_train_0003,12,1,head_on_cylinder,visible_high_risk,0,1.4080536365509033,0.5320367217063904,3.1918556690216064,1.0620849132537842,0.5110909938812256,-0.477570116519928,0.6111111044883728,0,6,False
phase8_train_0003,12,1,head_on_cylinder,visible_high_risk,1,2.108635663986206,0.46307966113090515,2.2734947204589844,1.1153837442398071,0.5136324167251587,-0.455316424369812,0.555555522441864,2,11,False
phase8_train_0003,12,1,head_on_cylinder,visible_high_risk,2,2.901740074157715,0.458678275346756,2.7777514457702637,1.1622498035430908,0.5289130210876465,-0.4400358200073242,0.555555522441864,3,13,False
phase8_train_0003,12,1,head_on_cylinder,visible_high_risk,3,1.745736002922058,0.18627512454986572,1.6852679252624512,0.8975770473480225,0.7490087747573853,-0.2340860366821289,0.6111111044883728,7,8,False
phase8_train_0003,12,1,head_on_cylinder,visible_high_risk,4,1.3633735179901123,0.11404358595609665,1.9455409049987793,0.8148453831672668,0.8274463415145874,-0.1415024995803833,0.555555522441864,10,5,False
phase8_train_0003,12,1,head_on_cylinder,visible_high_risk,5,1.3449829816818237,0.29417261481285095,2.5525264739990234,0.9915841221809387,0.6514647006988525,-0.337196409702301,0.6111111044883728,5,3,False
phase8_train_0003,12,1,head_on_cylinder,visible_high_risk,6,2.551161050796509,0.11776535212993622,3.074369192123413,1.1151940822601318,0.8029106855392456,-0.1660381555557251,0.555555522441864,9,12,False
phase8_train_0003,12,1,head_on_cylinder,visible_high_risk,7,4.4929609298706055,0.07883641868829727,3.186532735824585,1.0772590637207031,0.8559627532958984,-0.11298608779907227,0.555555522441864,13,14,False
phase8_train_0003,12,1,head_on_cylinder,visible_high_risk,8,2.046445369720459,0.048120200634002686,2.699312925338745,1.0634303092956543,0.9385292530059814,-0.030419588088989258,0.555555522441864,14,9,False
phase8_train_0003,12,1,head_on_cylinder,visible_high_risk,9,1.3500304222106934,0.08866003900766373,3.3892767429351807,0.8725834488868713,0.8772799968719482,-0.10467129945755005,0.6111111044883728,11,4,False
phase8_train_0003,12,1,head_on_cylinder,visible_high_risk,10,0.9603232145309448,0.21743334829807281,2.8591675758361816,0.9009360074996948,0.7152712941169739,-0.2733898162841797,0.6111111044883728,6,0,True
phase8_train_0003,12,1,head_on_cylinder,visible_high_risk,11,1.136794090270996,0.4064706265926361,2.837678909301758,1.0218974351882935,0.570626437664032,-0.4180346727371216,0.6111111044883728,4,1,False
phase8_train_0003,12,1,head_on_cylinder,visible_high_risk,12,2.0660300254821777,0.47130322456359863,2.5887200832366943,1.0632482767105103,0.5305466055870056,-0.45811450481414795,0.6111111044883728,1,10,False
